instnm,city,stabbr,zip,latitude,longitude,adm_rate,sat_mid_read,sat_mid_math,act_mid_cumulative,act_mid_english,act_mid_math,act_mid_writing,sat_avg,ug_enrol,nprice_pub_cat1,nprice_pub_cat2,nprice_pub_cat3,nprice_pub_cat4,nprice_pub_cat5,nprice_pvt_cat1,nprice_pvt_cat2,nprice_pvt_cat3,nprice_pvt_cat4,nprice_pvt_cat5,avg_cost_attendance,completion_rate,grad_debt_median,grad_debt_med_LY,grad_debt_med_MY,grad_debt_med_HY,female,married,avg_familyincome,median_householdincome,median_earn_aftr6yr,number_gradstudent,zipcode,own_sc_low,parent_sc_low,own_sc_high,parent_sc_high,merge1
Albizu University-Miami,Miami,FL,33172-2209,25.794178,-80.356315,0.7872,NULL,NULL,NULL,NULL,NULL,NULL,NULL,144,NULL,NULL,NULL,NULL,NULL,25210,25210,NULL,NULL,NULL,40503,0.5,5500,5250,7000,9000,0.8042105263,0.1242105263,21176.747368,45249.81,33006,656,33172,,,,,master only (1)
Albizu University-San Juan,San Juan,PR,00902-3711,18.466573,-66.113908,0.8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,652,NULL,NULL,NULL,NULL,NULL,11760,12104,15750,NULL,NULL,19215,NULL,5500,5250,7000,9000,0.8042105263,0.1242105263,21176.747368,45249.81,33006,1683,902,,,,,master only (1)
Albright College,Reading,PA,19612-5234,40.361351,-75.909742,0.821,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1530,NULL,NULL,NULL,NULL,NULL,15448,14822,17867,23952,30013,40300,0.5981,27000,19500,24300,22589,0.6258879242,0.0599842147,61701.385162,69057.72,44834,45,19612,1.68233,1.24182,1.75978,1.33724,matched (3)
Alcorn State University,Alcorn State,MS,39096-7500,31.877216,-91.142854,0.3772,455,425,21,20,21,NULL,1035,2648,16480,21470,20407,6943,12830,NULL,NULL,NULL,NULL,NULL,24285,0.4544,28180,18500,15250,13000,0.621548457,0.0205739036,27199.505685,38329.94,27087,501,39096,.70427001,.55644,.93326002,.58574998,matched (3)
Alderson Broaddus University,Philippi,WV,26416-2035,39.158067,-80.047728,0.5276,480,470,20,18,19,7,972,756,NULL,NULL,NULL,NULL,NULL,17866,19391,20998,24987,26485,42676,0.3179,26459,9500,10375,12000,0.4316770186,0.0357142857,65638.097826,44559.33,37025,97,26416,1.53866,.94867998,1.5851901,1.05674,matched (3)
Alfred University,Alfred,NY,14802-1205,42.254476,-77.788106,0.6411,540,545,24,23,23,NULL,1102,1572,NULL,NULL,NULL,NULL,NULL,15113,19639,24305,27456,31821,50643,0.6074,26000,15000,15750,21500,0.4638826185,PrivacySuppressed,69323.592551,63665.1,37910,594,14802,1.59917,1.21193,1.68291,1.26291,matched (3)
Alice Lloyd College,Pippa Passes,KY,41844,37.335087,-82.875068,0.2115,470,460,19,20,18,8,994,569,NULL,NULL,NULL,NULL,NULL,13315,13112,17004,17669,18054,25490,0.3533,16908,7850,11206,8250,0.5726495726,PrivacySuppressed,46506.823362,31403.34,28625,NULL,41844,1.27324,.51547998,1.38729,.53263003,matched (3)
Allegheny College,Meadville,PA,16335-3902,41.64869,-80.147168,0.7315,630,615,27,27,25,NULL,1260,1615,NULL,NULL,NULL,NULL,NULL,17681,18748,21460,25984,30854,64901,0.7267,27000,26000,24371,25973,0.5290482077,PrivacySuppressed,81798.063041,64269,43345,NULL,16335,1.67702,1.37756,1.77601,1.40249,matched (3)
Allegheny Wesleyan College,Salem,OH,44460-9598,40.86722,-80.861232,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,56,NULL,NULL,NULL,NULL,NULL,4962,6016,9540,NULL,NULL,13524,0.4167,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.59375,PrivacySuppressed,31900.40625,49689.96,22281,NULL,44460,,,,,master only (1)
Allen College,Waterloo,IA,50703-1999,42.530084,-92.340148,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,374,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,18750,19665,14875,15000,0.8846153846,0.1230769231,72391.3,55286.77,54838,304,50703,,,,,matched (3)
Allen University,Columbia,SC,29204,34.010348,-81.020045,0.6458,NULL,NULL,NULL,NULL,NULL,NULL,NULL,656,NULL,NULL,NULL,NULL,NULL,13962,12140,15380,17435,15081,24695,0.1905,35000,9884,10188,8250,0.5,PrivacySuppressed,23028.261364,49460.71,22158,49,29204,.74681002,,.86159003,,matched (3)
Alma College,Alma,MI,48801-1599,43.38004,-84.672053,0.6673,NULL,NULL,NULL,NULL,NULL,8,NULL,1404,NULL,NULL,NULL,NULL,NULL,19666,18565,22136,22815,26198,55662,0.7079,27000,22510,23250,21500,0.5534682081,0.0158959538,76698.632948,61676.21,40539,NULL,48801,1.65696,1.25693,1.75456,1.2794501,matched (3)
Alpena Community College,Alpena,MI,49707,45.081647,-83.445069,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,853,1844,1932,5092,8822,9766,NULL,NULL,NULL,NULL,NULL,9916,0.3829,10793,5500,5500,5799,0.4714475432,0.0982735724,36653.260292,46499.49,28713,NULL,49707,.98238999,.66115999,1.12686,.70630002,matched (3)
Alvernia University,Reading,PA,19607-1799,40.310028,-75.936754,0.7002,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2034,NULL,NULL,NULL,NULL,NULL,26553,23745,24953,29420,37358,49990,0.6117,27000,18750,24630,20500,0.7112387203,0.109926169,68130.406891,60334.44,45052,515,19607,1.67471,1.41102,1.74492,1.4038399,matched (3)
Alverno College,Milwaukee,WI,53234-3922,42.982842,-87.965174,0.7823,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1015,NULL,NULL,NULL,NULL,NULL,17790,16842,18834,22721,26132,40724,0.4316,27000,25000,21461,20000,PrivacySuppressed,0.0929648241,46672.616834,58784.16,42918,777,53234,1.50843,1.00661,1.67706,1.13704,matched (3)
Amberton University,Garland,TX,75041-5595,32.859931,-96.65302,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,186,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.3870967742,34865.83871,NULL,NULL,917,75041,,,,,master only (1)
America Evangelical University,Gardena,CA,90247-4432,34.041239,-118.308661,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,65,NULL,NULL,NULL,NULL,NULL,4920,NULL,NULL,NULL,NULL,11420,NULL,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,NULL,NULL,NULL,NULL,NULL,100,90247,,,,,master only (1)
American Academy of Art College,Chicago,IL,60604-4302,41.87742,-87.624788,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,169,NULL,NULL,NULL,NULL,NULL,22931,25340,26904,35510,35123,41648,0.5797,27000,28250,27000,25785,0.6887417219,PrivacySuppressed,54148.781457,70029.31,26750,NULL,60604,,,,,master only (1)
American Baptist College,Nashville,TN,37207-9980,36.202623,-86.789912,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,55,NULL,NULL,NULL,NULL,NULL,21149,19594,NULL,NULL,NULL,24972,0.6364,43000,23093,PrivacySuppressed,PrivacySuppressed,0.4285714286,0.2467532468,21528.662338,49435.09,NULL,NULL,37207,,,,,master only (1)
American College of Financial Services,King of Prussia,PA,19406,40.101644,-75.394652,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5233,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,490,19406,,,,,master only (1)
American College of the Building Arts,Charleston,SC,29403-4223,32.805094,-79.946888,0.6471,561,551,24,24,23,NULL,1139,93,NULL,NULL,NULL,NULL,NULL,30550,29939,28264,NULL,NULL,37384,0.6667,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,NULL,NULL,NULL,NULL,NULL,NULL,29403,,,,,master only (1)
