School,Zip Code,City,State,Admissions Rate,Median ACT,Average SAT,# of Undergrads,Graduation Rate, Median Debt After Graduation , Median Salary (2-years post-graduation) ,Economic Connectedness
Clarke University,52001-3198,Dubuque,IA,89.20%,22,1085,654,65.75%," $26,250.00 "," $43,095.00 ",84.22%
Clarks Summit University,18411-1250,Clarks Summit,PA,61.89%,Data Not Available,Data Not Available,483,68.18%," $19,500.00 "," $32,428.00 ",Data Not Available
Clarkson College,68131-2739,Omaha,NE,56.86%,Data Not Available,Data Not Available,616,51.61%," $25,500.00 "," $52,436.00 ",Data Not Available
Clarkson University,13699,Potsdam,NY,77.99%,27,1259,2867,75.62%," $26,896.00 "," $65,651.00 ",85.00%
Clayton  State University,30260-0285,Morrow,GA,68.54%,Data Not Available,Data Not Available,5375,30.57%," $26,865.00 "," $37,936.00 ",53.04%
Clear Creek Baptist Bible College,40977-9752,Pineville,KY,Data Not Available,Data Not Available,Data Not Available,84,16.67%, Data Not Available ," $30,233.00 ",Data Not Available
Cleary University,48843,Howell,MI,65.26%,Data Not Available,Data Not Available,509,56.36%," $19,792.00 "," $48,709.00 ",Data Not Available
Clemson University,29634,Clemson,SC,61.94%,30,1327,20796,84.92%," $21,500.00 "," $51,690.00 ",78.65%
Cleveland Institute of Art,44106-1710,Cleveland,OH,67.18%,23,1168,592,64.03%," $27,000.00 "," $31,025.00 ",65.67%
Cleveland Institute of Music,44106-1776,Cleveland,OH,34.16%,Data Not Available,Data Not Available,234,71.43%," $21,375.00 ", Data Not Available ,Data Not Available
Cleveland State University,44115-2214,Cleveland,OH,93.60%,22,1088,10917,48.27%," $22,000.00 "," $40,759.00 ",58.00%
Cleveland University-Kansas City,66210,Overland Park,KS,54.55%,Data Not Available,Data Not Available,77,0.00%," $12,383.00 "," $39,080.00 ",Data Not Available
Clinton College,29730,Rock Hill,SC,Data Not Available,Data Not Available,Data Not Available,119,7.62%," $24,637.00 "," $23,926.00 ",Data Not Available
Clover Park Technical College,98499-4004,Lakewood,WA,Data Not Available,Data Not Available,Data Not Available,1723,34.48%," $11,794.00 "," $33,690.00 ",45.44%
Coastal Carolina University,29526,Conway,SC,70.45%,22,1108,9085,45.99%," $24,534.00 "," $34,196.00 ",62.96%
