instnm,city,stabbr,zip,latitude,longitude,adm_rate,sat_mid_read,sat_mid_math,act_mid_cumulative,act_mid_english,act_mid_math,act_mid_writing,sat_avg,ug_enrol,nprice_pub_cat1,nprice_pub_cat2,nprice_pub_cat3,nprice_pub_cat4,nprice_pub_cat5,nprice_pvt_cat1,nprice_pvt_cat2,nprice_pvt_cat3,nprice_pvt_cat4,nprice_pvt_cat5,avg_cost_attendance,completion_rate,grad_debt_median,grad_debt_med_LY,grad_debt_med_MY,grad_debt_med_HY,female,married,avg_familyincome,median_householdincome,median_earn_aftr6yr,number_gradstudent,zipcode,own_sc_low,parent_sc_low,own_sc_high,parent_sc_high,merge1,state,county,v_tier,v_ipeds_enrollment_2013,v_sticker_price_2013,v_sat_avg_2013,v_scorecard_netprice_2013,v_black_share_fall_2000,v_hisp_share_fall_2000,v_pct_arthuman_2000,v_pct_business_2000,v_pct_health_2000,v_pct_multidisci_2000,v_pct_publicsocial_2000,v_pct_stem_2000,v_pct_socialscience_2000,v_pct_tradepersonal_2000,_merge
Mount Carmel College of Nursing,Columbus,OH,43222-1504,39.956625,-83.021501,0.8082,NULL,NULL,20,20,20,NULL,1050,705,NULL,NULL,NULL,NULL,NULL,13242,12704,17299,21215,21615,21615,0.7975,21500,22020,21500,17979,0.8932714617,0.1345707657,70392.266821,68565.22,59077,198,43222,,1.36612,,1.37712,matched (3),,,,,,,,,,,,,,,,,,master only (1)
Mount Carmel College of Nursing - Fairfield,Lancaster,OH,43130-3372,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,21500,22020,21500,17979,0.8932714617,0.1345707657,70392.266821,NULL,59077,NULL,43130,,,,,master only (1),,,,,,,,,,,,,,,,,,master only (1)
Mount Holyoke College,South Hadley,MA,01075-1489,42.256838,-72.575511,0.5247,680,705,29,33,26,NULL,1367,1912,NULL,NULL,NULL,NULL,NULL,13957,13907,16248,24407,39400,69578,0.8415,21486,19500,19500,19000,PrivacySuppressed,0.0164744646,83742.3229,79267.64,40180,125,1075,1.78851,1.51727,1.84673,1.56938,matched (3),MA,Hampshire,4,2183,42656,,13169,.046004843,.044552058,21.443298,0,0,12.989691,0,27.010307,38.556702,0,matched (3)
Mount Marty University,Yankton,SD,57078-3724,42.874475,-97.409904,0.7843,NULL,NULL,20,19,20,NULL,1035,656,NULL,NULL,NULL,NULL,NULL,17273,15884,18487,21944,21015,41044,0.5268,25745,14902,15000,19085,0.6840390879,0.0879478827,64795.605863,49528.49,38894,180,57078,1.63324,1.1056499,1.76291,1.11133,matched (3),,,,,,,,,,,,,,,,,,master only (1)
Mount Mary University,Milwaukee,WI,53222-4597,43.072507,-88.030732,0.5301,545,498,18,18,18,NULL,984,621,NULL,NULL,NULL,NULL,NULL,19417,18804,21167,27794,28270,44284,0.513,26000,21500,17500,18750,PrivacySuppressed,0.0512249443,48188.385301,62361.14,38193,561,53222,1.34141,,1.58469,,matched (3),WI,Milwaukee,6,926,25852,,10274,.11662076,.039485767,13.592233,19.902912,40.291264,.97087377,3.3980582,.48543689,21.359222,0,matched (3)
Mount Mercy University,Cedar Rapids,IA,52402-4797,42.001931,-91.650991,0.7621,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1376,NULL,NULL,NULL,NULL,NULL,19250,17384,21263,25560,27015,48189,0.5746,23250,17750,16913,19000,0.7172413793,0.1505747126,63068.8,61693.27,46497,324,52402,1.72523,1.12233,1.81355,1.1427701,matched (3),IA,Linn,6,1476,27010,,16020,.016140865,.016140865,4.5112782,27.81955,19.548872,1.1278195,13.157894,12.030075,21.804512,0,matched (3)
Mount Saint Joseph University,Cincinnati,OH,45233-1670,39.095893,-84.639453,0.6015,525,520,22,22,21,NULL,1108,1120,NULL,NULL,NULL,NULL,NULL,14261,13972,17613,19960,21815,39248,0.5533,27000,17285,21988,18250,0.5670816044,0.0802213001,63880.434302,64120.45,39954,558,45233,1.64424,1.25264,1.73818,1.26571,matched (3),,,,,,,,,,,,,,,,,,master only (1)
Mount Saint Mary College,Newburgh,NY,12550,41.513872,-74.012655,0.9017,540,535,22,22,22,NULL,1080,1780,NULL,NULL,NULL,NULL,NULL,15540,21064,25229,27411,29381,47103,0.6049,26000,20833,23250,21500,0.7261029412,0.0542279412,81559.996324,74923.28,51847,344,12550,1.80112,1.55259,1.83864,1.57298,matched (3),NY,Orange,6,2203,27312,1005,16789,.10153483,.08205431,15.757576,22.424242,9.393939,.90909094,6.969697,13.333333,31.212122,0,matched (3)
Mount Saint Mary's University,Los Angeles,CA,90049-1599,34.085315,-118.482879,0.8933,520,485,21,NULL,NULL,NULL,1014,2026,NULL,NULL,NULL,NULL,NULL,29531,28838,33649,35953,32174,57689,0.5896,25000,22230,25000,18091,0.9312461633,0.0847145488,50278.626765,59943.9,57246,674,90049,1.546,1.15215,1.74221,1.3101701,matched (3),,,,,,,,,,,,,,,,,,master only (1)
Mount Saint Mary's University - Doheny Campus,Los Angeles,CA,90007,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,25000,22230,25000,18091,0.9312461633,0.0847145488,50278.626765,59943.9,57246,NULL,90007,,,,,master only (1),,,,,,,,,,,,,,,,,,master only (1)
Mount St. Mary's University,Emmitsburg,MD,21727-7799,39.681705,-77.351887,0.8045,547,527,22,24,21,NULL,1082,2009,NULL,NULL,NULL,NULL,NULL,21661,26934,25752,28117,29641,57867,0.6314,25000,16000,18551,17000,0.5489949749,0.0603015075,98287.605528,81781.05,48213,489,21727,1.78178,1.54187,1.8404,1.58377,matched (3),,,,,,,,,,,,,,,,,,master only (1)
Mount Vernon Nazarene University,Mount Vernon,OH,43050-9500,40.372901,-82.471074,0.7248,550,565,23,22,22,NULL,1131,1614,NULL,NULL,NULL,NULL,NULL,20032,19951,20447,21320,24118,43341,0.6238,25000,19301,20024,19438,0.64453524,0.1583248212,63027.947906,60597.42,36762,369,43050,1.69805,1.33424,1.79932,1.35322,matched (3),OH,Knox,6,1829,16095,985,15952,.012175755,.0058231871,10.991958,48.793564,0,3.7533512,2.4128687,9.651475,24.396784,0,matched (3)
Mount Wachusett Community College,Gardner,MA,01440-1000,42.593142,-71.984148,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2757,6441,6758,8080,12506,13388,NULL,NULL,NULL,NULL,NULL,13771,NULL,10284,4242,5500,6240,0.6314636284,0.1187554777,38320.355828,62510.84,35523,NULL,1440,1.46268,1.17949,1.58722,1.23352,matched (3),MA,Worcester,9,4734,5068,,6853,.02970003,.052866053,1.4989294,28.907923,22.912205,19.486082,6.4239831,14.132763,0,6.6381159,matched (3)
Mountain Empire Community College,Big Stone Gap,VA,24219,36.854421,-82.758277,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1317,5238,4974,6372,6109,NULL,NULL,NULL,NULL,NULL,NULL,12071,NULL,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.5633270321,0.1833648393,20577.401701,35558.98,24489,NULL,24219,.81836998,.55374998,.97812998,.58670998,matched (3),VA,Wise,9,2924,3336,,4447,.012404232,.0014593215,0,32.160805,43.467339,10.552764,2.2613065,11.557789,0,0,matched (3)
Mountain State College,Parkersburg,WV,26101-3993,39.273787,-81.548845,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,23,NULL,NULL,NULL,NULL,NULL,14154,NULL,NULL,NULL,NULL,19110,NULL,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.7941176471,0.2941176471,11115.960784,43193.27,15405,NULL,26101,,,,,master only (1),,,,,,,,,,,,,,,,,,master only (1)
Mountain State School of Massage,Charleston,WV,25304,38.317659,-81.579417,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,24,NULL,NULL,NULL,NULL,NULL,19592,NULL,NULL,NULL,NULL,NULL,NULL,8181,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.6851851852,0.2037037037,31167.62963,NULL,16820,NULL,25304,,,,,master only (1),,,,,,,,,,,,,,,,,,master only (1)
Mountainland Technical College,Lehi,UT,84043,40.419941,-111.886031,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2465,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.5971428571,0.4142857143,27190.657143,NULL,27041,NULL,84043,,,,,master only (1),,,,,,,,,,,,,,,,,,master only (1)
Mountwest Community and Technical College,Huntington,WV,25701,38.392635,-82.458186,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1226,7619,7008,8549,8255,NULL,NULL,NULL,NULL,NULL,NULL,12964,NULL,7500,3750,5250,5500,0.5696202532,0.1969057665,30508.599859,42909.49,23697,NULL,25701,.96464002,.47329,1.0925601,.51144999,matched (3),,,,,,,,,,,,,,,,,,master only (1)
Mr Leon's School of Hair Design-Lewiston,Lewiston,ID,83501,46.418215,-117.020124,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,13,NULL,NULL,NULL,NULL,NULL,13922,NULL,NULL,NULL,NULL,NULL,NULL,14000,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.2535211268,26246.676056,45891.82,19139,NULL,83501,,,,,master only (1),,,,,,,,,,,,,,,,,,master only (1)
Mr Leon's School of Hair Design-Moscow,Moscow,ID,83843,46.729532,-117.001162,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,11,NULL,NULL,NULL,NULL,NULL,12695,NULL,NULL,NULL,NULL,NULL,NULL,14000,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.2535211268,26246.676056,45891.82,19139,NULL,83843,,,,,master only (1),,,,,,,,,,,,,,,,,,master only (1)
Mr Wayne's School of Unisex Hair Design,Cookeville,TN,38501,36.158772,-85.512381,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20,NULL,NULL,NULL,NULL,NULL,17869,NULL,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,25038.909091,40135.74,14545,NULL,38501,,,,,master only (1),,,,,,,,,,,,,,,,,,master only (1)
Ms Roberts Academy of Beauty Culture,Hillside,IL,60162-1121,41.881179,-87.884693,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,44,NULL,NULL,NULL,NULL,NULL,10113,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,72954.67,NULL,NULL,60162,,,,,master only (1),,,,,,,,,,,,,,,,,,master only (1)
Mt Hood Community College,Gresham,OR,97030,45.514862,-122.396972,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4147,5206,4681,7684,10338,11060,NULL,NULL,NULL,NULL,NULL,13123,NULL,12933,6900,6846,5500,0.5749721293,0.1415830546,31413.345596,60728.71,32057,NULL,97030,1.03547,1.01661,1.3301899,1.1646301,matched (3),,,,,,,,,,,,,,,,,,master only (1)
Mt San Antonio College,Walnut,CA,91789-1399,34.047764,-117.846629,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,26037,2412,3035,5768,7351,10827,NULL,NULL,NULL,NULL,NULL,10827,NULL,6000,5625,4500,4000,0.5370350969,0.0676794133,22654.517653,67359.43,33878,NULL,91789,1.28066,.97808999,1.49106,1.21145,matched (3),,,,,,,,,,,,,,,,,,master only (1)
Mt San Jacinto Community College District,San Jacinto,CA,92583-2399,33.806748,-116.971169,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,12507,4949,5715,8096,10197,10598,NULL,NULL,NULL,NULL,NULL,12865,NULL,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.6096942816,0.1381276731,21844.030889,55467.11,28277,NULL,92583,1.17505,1.0930001,1.37519,1.28742,matched (3),,,,,,,,,,,,,,,,,,master only (1)
Mt. Diablo Adult Education-Mt. Diablo USD,Concord,CA,94518-1199,37.968852,-122.026805,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,85,15884,18265,18865,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.1881188119,24025.267327,80464.2,36337,NULL,94518,,,,,master only (1),,,,,,,,,,,,,,,,,,master only (1)
Muhlenberg College,Allentown,PA,18104,40.596416,-75.508502,0.6218,640,620,29,29,26,NULL,1280,2044,NULL,NULL,NULL,NULL,NULL,18000,21330,20783,25859,39530,69413,0.8128,25987,26280,23500,22717,0.5819672131,0.0464480874,126766.33333,89504.61,53011,21,18104,1.8693399,1.73146,1.90777,1.7421401,matched (3),PA,Lehigh,4,2448,44145,,14567,.02044829,.019661816,16.726618,27.338129,.17985612,2.3381295,1.438849,14.38849,37.589928,0,matched (3)
Multnomah University,Portland,OR,97220,45.527139,-122.575557,0.589,NULL,NULL,NULL,NULL,NULL,NULL,NULL,333,NULL,NULL,NULL,NULL,NULL,29804,24880,29886,33429,32573,42743,0.5,20407,14000,14910,13000,0.5191489362,0.1361702128,54535.931915,65799,36683,287,97220,,,,,matched (3),OR,Multnomah,8,438,22100,1070,21322,.0084889643,.016977929,0,0,0,0,100,0,0,0,matched (3)
Murray State College,Tishomingo,OK,73460,34.222949,-96.677906,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1530,11585,11749,15143,16650,15294,NULL,NULL,NULL,NULL,NULL,18803,NULL,14190,9842,8500,8027,0.6684698609,0.1561051005,34253.579598,39757.86,30112,NULL,73460,1.1955301,.72354001,1.36411,.82045001,matched (3),,,,,,,,,,,,,,,,,,master only (1)
Murray State University,Murray,KY,42071-3318,36.612419,-88.323629,0.7703,565,560,24,25,18,NULL,1179,6981,9339,9520,11244,14681,15509,NULL,NULL,NULL,NULL,NULL,21349,0.5336,21500,16377,15000,15270,0.6265372168,0.0796116505,59538.608738,48948.11,33889,1586,42071,1.56788,.92084998,1.70832,1.0039099,matched (3),KY,Calloway,5,9172,7392,1000,7381,.059569921,.0056097237,6.283525,16.858238,11.111111,4.7509575,5.2107277,23.524904,31.264368,.99616855,matched (3)
Musicians Institute,Hollywood,CA,90028,34.101265,-118.337582,0.6844,NULL,NULL,NULL,NULL,NULL,NULL,NULL,683,NULL,NULL,NULL,NULL,NULL,36189,37287,39945,41195,40292,41195,0.5,9500,6334,6334,5500,0.2124600639,0.0575079872,46258.947284,65487.96,27547,NULL,90028,1.62291,,1.63916,,matched (3),CA,Los Angeles,10,1204,23985,,33592,.046075087,.0665529,100,0,0,0,0,0,0,0,matched (3)
Muskegon Community College,Muskegon,MI,49442-1432,43.250329,-86.196384,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2643,5064,5902,7325,10088,10369,NULL,NULL,NULL,NULL,NULL,10369,NULL,9384,5000,4475,5500,0.5754034502,0.0851419032,34242.478575,54088.77,29029,NULL,49442,1.15523,.83069998,1.41351,.94294,matched (3),MI,Muskegon,9,4879,8075,,4151,.077244259,.021804685,0,12.235294,27.058823,0,5.1764708,2.1176472,49.411766,4,matched (3)
Muskingum University,New Concord,OH,43762,39.996585,-81.737127,0.7966,NULL,NULL,NULL,NULL,NULL,7,NULL,1490,NULL,NULL,NULL,NULL,NULL,14692,14746,17187,20744,23110,41716,0.5573,26975,16000,15475,16021,0.5278106509,0.0804733728,59475.918343,57566.05,37307,682,43762,1.5480601,1.08604,1.68258,1.10957,matched (3),OH,Muskingum,6,1728,24676,1000,13333,.014869888,.0061957869,10.218978,14.963504,0,.3649635,0,17.153284,57.299271,0,matched (3)
My Beauty & Barber College,Sacramento,CA,95823-4687,38.473648,-121.431533,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,99,NULL,NULL,NULL,NULL,NULL,21418,NULL,NULL,NULL,NULL,NULL,NULL,14144,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,NULL,NULL,NULL,NULL,NULL,NULL,95823,,,,,master only (1),,,,,,,,,,,,,,,,,,master only (1)
My Le's Beauty College,Gretna,LA,70056,29.902428,-90.029931,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,44,NULL,NULL,NULL,NULL,NULL,13753,NULL,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.8305084746,0.2966101695,14118.677966,NULL,17417,NULL,70056,,,,,master only (1),,,,,,,,,,,,,,,,,,master only (1)
My Le's Beauty College,Sacramento,CA,95823-2513,38.494851,-121.452325,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,155,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.5057471264,11508.643678,62216.63,17599,NULL,95823,,,,,master only (1),,,,,,,,,,,,,,,,,,master only (1)
MyComputerCareer.com,Indianapolis,IN,46241,39.729314,-86.25478,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,232,NULL,NULL,NULL,NULL,NULL,31013,31864,32597,NULL,36307,NULL,NULL,9500,9500,9500,5500,0.1298701299,0.3350649351,36655.327273,NULL,31590,NULL,46241,,,,,master only (1),,,,,,,,,,,,,,,,,,master only (1)
MyComputerCareer.edu-Columbus,Westerville,OH,43082,40.147019,-82.941874,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3013,NULL,NULL,NULL,NULL,NULL,30136,30607,31722,32550,NULL,NULL,NULL,9500,9500,9500,9500,0.1627906977,0.3372093023,35054.662791,NULL,37101,NULL,43082,,,,,master only (1),,,,,,,,,,,,,,,,,,master only (1)
MyComputerCareer.edu-Raleigh,Raleigh,NC,27606,35.767841,-78.727186,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1995,NULL,NULL,NULL,NULL,NULL,32226,33704,33850,33342,31017,NULL,NULL,9500,9500,9500,9500,0.1514675052,0.3878406709,36360.790356,NULL,56792,NULL,27606,,,,,master only (1),,,,,,,,,,,,,,,,,,master only (1)
Myotherapy College of Utah,Millcreek City,UT,84107,40.686411,-111.871866,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,105,NULL,NULL,NULL,NULL,NULL,23110,23894,25077,26103,26103,NULL,NULL,PrivacySuppressed,8233,PrivacySuppressed,PrivacySuppressed,0.8111111111,0.2444444444,37276.311111,69832.31,22681,NULL,84107,,,,,master only (1),,,,,,,,,,,,,,,,,,master only (1)
Myotherapy Institute,Lincoln,NE,68510,40.772295,-96.623323,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,13,NULL,NULL,NULL,NULL,NULL,26517,29765,NULL,NULL,NULL,32444,NULL,11723,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,38052.377778,55012.95,26490,NULL,68510,,,,,master only (1),,,,,,,,,,,,,,,,,,master only (1)
MyrAngel Beauty Institute,San Lorenzo,PR,00754,18.188811,-65.961757,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,180,NULL,NULL,NULL,NULL,NULL,7358,8770,9070,NULL,NULL,NULL,NULL,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.7591743119,0.1055045872,4074.4197248,NULL,13978,NULL,754,,,,,master only (1),,,,,,,,,,,,,,,,,,master only (1)
Mystros Barber Academy,Houston,TX,77090-3300,30.014,-95.453049,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,33,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,NULL,NULL,NULL,NULL,NULL,NULL,77090,,,,,master only (1),,,,,,,,,,,,,,,,,,master only (1)
NASCAR Technical Institute,Mooresville,NC,28117,35.605305,-80.855128,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1204,NULL,NULL,NULL,NULL,NULL,22024,22469,25195,26765,27008,NULL,NULL,14243,12000,12000,12000,0.0376457524,0.1088284287,42458.6794,64889.67,43369,NULL,28117,,,,,master only (1),,,,,,,,,,,,,,,,,,master only (1)
NHTI-Concord's Community College,Concord,NH,03301-7412,43.223621,-71.531979,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2559,17592,21592,21707,21707,21707,NULL,NULL,NULL,NULL,NULL,21707,NULL,14250,9500,9500,8251,0.5506301608,0.1003911343,56598.175576,66530.25,36055,NULL,3301,1.36069,1.09286,1.52529,1.1643,matched (3),,,,,,,,,,,,,,,,,,master only (1)
NTMA Training Centers of Southern California,Santa Fe Springs,CA,90670,33.94302,-118.074231,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,138,NULL,NULL,NULL,NULL,NULL,22822,22814,24248,NULL,NULL,NULL,NULL,8418,8418,PrivacySuppressed,PrivacySuppressed,0.0524590164,0.168852459,26654.718033,58140.9,42135,NULL,90670,,,,,master only (1),,,,,,,,,,,,,,,,,,master only (1)
NUC University,Bayamon,PR,00960,18.396872,-66.157027,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22080,NULL,NULL,NULL,NULL,NULL,12086,12666,15657,18302,18394,19132,0.6733,10500,9500,9500,9183,0.6684603558,0.1681309027,11367.716561,20548.96,20855,1294,960,,,,,master only (1),,,,,,,,,,,,,,,,,,master only (1)
NUC University - Arecibo,Arecibo,PR,00614,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10500,9500,9500,9183,NULL,NULL,NULL,NULL,20855,NULL,614,,,,,master only (1),,,,,,,,,,,,,,,,,,master only (1)
NUC University - Caguas,Caguas,PR,00726-0000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10500,9500,9500,9183,NULL,NULL,NULL,NULL,20855,NULL,726,,,,,master only (1),,,,,,,,,,,,,,,,,,master only (1)
NUC University - Florida Technical College - Cutler Bay,Cutler Bay,FL,33189-1208,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,33189,,,,,master only (1),,,,,,,,,,,,,,,,,,master only (1)
NUC University - Florida Technical College - Deland,Deland,FL,32720-7415,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,32720,,,,,master only (1),,,,,,,,,,,,,,,,,,master only (1)
NUC University - Florida Technical College - Kissimmee,Kissimmee,FL,34741-0000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,34741,,,,,master only (1),,,,,,,,,,,,,,,,,,master only (1)
NUC University - Florida Technical College - Lakeland,Lakeland,FL,33813-2101,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,33813,,,,,master only (1),,,,,,,,,,,,,,,,,,master only (1)
NUC University - Florida Technical College - Orlando,Orlando,FL,32826-2707,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,32826,,,,,master only (1),,,,,,,,,,,,,,,,,,master only (1)
NUC University - Florida Technical College - Pembroke Pines,Pembroke Pines,FL,33027-0000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,33027,,,,,master only (1),,,,,,,,,,,,,,,,,,master only (1)
NUC University - IBC Technical Division - Aguadilla,Aguadilla,PR,00603-0000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,603,,,,,master only (1),,,,,,,,,,,,,,,,,,master only (1)
NUC University - IBC Technical Division - Arecibo,Arecibo,PR,00612-0000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,612,,,,,master only (1),,,,,,,,,,,,,,,,,,master only (1)
NUC University - IBC Technical Division - Bayamon,Bayamon,PR,00961-0000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,961,,,,,master only (1),,,,,,,,,,,,,,,,,,master only (1)
NUC University - IBC Technical Division - Caguas,Caguas,PR,00726-0000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,726,,,,,master only (1),,,,,,,,,,,,,,,,,,master only (1)
NUC University - IBC Technical Division - Escorial,San Juan,PR,00928-0000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,928,,,,,master only (1),,,,,,,,,,,,,,,,,,master only (1)
NUC University - IBC Technical Division - Fajardo,Fajardo,PR,00738-0000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,738,,,,,master only (1),,,,,,,,,,,,,,,,,,master only (1)
NUC University - IBC Technical Division - Guayama,Guayama,PR,00784-9604,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,784,,,,,master only (1),,,,,,,,,,,,,,,,,,master only (1)
