instnm,city,stabbr,zip,latitude,longitude,adm_rate,sat_mid_read,sat_mid_math,act_mid_cumulative,act_mid_english,act_mid_math,act_mid_writing,sat_avg,ug_enrol,nprice_pub_cat1,nprice_pub_cat2,nprice_pub_cat3,nprice_pub_cat4,nprice_pub_cat5,nprice_pvt_cat1,nprice_pvt_cat2,nprice_pvt_cat3,nprice_pvt_cat4,nprice_pvt_cat5,avg_cost_attendance,completion_rate,grad_debt_median,grad_debt_med_LY,grad_debt_med_MY,grad_debt_med_HY,female,married,avg_familyincome,median_householdincome,median_earn_aftr6yr,number_gradstudent,zipcode,own_sc_low,parent_sc_low,own_sc_high,parent_sc_high,merge1,state,county,v_tier,v_ipeds_enrollment_2013,v_sticker_price_2013,v_sat_avg_2013,v_scorecard_netprice_2013,v_black_share_fall_2000,v_hisp_share_fall_2000,v_pct_arthuman_2000,v_pct_business_2000,v_pct_health_2000,v_pct_multidisci_2000,v_pct_publicsocial_2000,v_pct_stem_2000,v_pct_socialscience_2000,v_pct_tradepersonal_2000,_merge
Academy of Art University,San Francisco,CA,94105,37.787943,-122.400578,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6024,NULL,NULL,NULL,NULL,NULL,33484,32975,34695,40983,40682,43976,0.4688,31000,11000,11750,12990,0.5731981982,0.1452702703,37907.316216,74015.06,30780,2804,94105,,,,,master only (1),,,,,,,,,,,,,,,,,,master only (1)
Academy of Beauty Professionals,Madison,WI,53719,43.05541,-89.490781,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,44,NULL,NULL,NULL,NULL,NULL,22697,23746,23746,NULL,NULL,NULL,NULL,7917,7917,7917,4584,0.9580645161,0.2032258065,30891.429032,NULL,19940,NULL,53719,,,,,master only (1),,,,,,,,,,,,,,,,,,master only (1)
Academy of Beauty Professionals,Green Bay,WI,54303-4838,44.52349,-88.097926,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,34,NULL,NULL,NULL,NULL,NULL,20962,NULL,NULL,NULL,NULL,NULL,NULL,7917,7917,7917,4584,0.9580645161,0.2032258065,30891.429032,NULL,19940,NULL,54303,,,,,master only (1),,,,,,,,,,,,,,,,,,master only (1)
Academy of Beauty Professionals,Appleton,WI,54914-5780,44.266271,-88.461527,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,44,NULL,NULL,NULL,NULL,NULL,17827,22234,24942,NULL,NULL,NULL,NULL,7917,7917,7917,4584,0.9580645161,0.2032258065,30891.429032,NULL,19940,NULL,54914,,,,,master only (1),,,,,,,,,,,,,,,,,,master only (1)
Academy of Career Training,Kissimmee,FL,34741,28.306092,-81.439569,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,67,NULL,NULL,NULL,NULL,NULL,7255,NULL,NULL,NULL,NULL,NULL,NULL,6092,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.6276595745,0.2074468085,16613.952128,NULL,22575,NULL,34741,,,,,master only (1),,,,,,,,,,,,,,,,,,master only (1)
Academy of Careers and Technology,Beckley,WV,25801,37.795299,-81.165435,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,180,4094,4542,5075,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.6971830986,0.2183098592,20926.985915,38938.41,24678,NULL,25801,,,,,master only (1),,,,,,,,,,,,,,,,,,master only (1)
Academy of Chinese Culture and Health Sciences,Oakland,CA,94612,37.805972,-122.269839,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,NULL,NULL,NULL,PrivacySuppressed,NULL,97,94612,,,,,master only (1),,,,,,,,,,,,,,,,,,master only (1)
Academy of Cosmetology,Merritt Island,FL,32953,28.394053,-80.70372,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,113,NULL,NULL,NULL,NULL,NULL,18020,22156,20211,NULL,NULL,NULL,NULL,6333,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.9032258065,0.2204301075,14579.102151,56984.21,20198,NULL,32953,,,,,master only (1),,,,,,,,,,,,,,,,,,master only (1)
Academy of Cosmetology Inc,Bozeman,MT,59715-3544,45.680544,-111.039848,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,33,NULL,NULL,NULL,NULL,NULL,12109,NULL,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,44823.633333,49491.2,24452,NULL,59715,,,,,master only (1),,,,,,,,,,,,,,,,,,master only (1)
Academy of Cosmetology and Esthetics NYC,Staten Island,NY,10306,40.573227,-74.114517,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,35,NULL,NULL,NULL,NULL,NULL,15350,17300,NULL,NULL,NULL,NULL,NULL,5500,5500,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.0986842105,40646.065789,NULL,20328,NULL,10306,,,,,master only (1),,,,,,,,,,,,,,,,,,master only (1)
Academy of Esthetics and Cosmetology,San Fernando,CA,91340-3212,34.285043,-118.444228,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,24,NULL,NULL,NULL,NULL,NULL,12203,NULL,NULL,NULL,NULL,NULL,NULL,5117,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.6590909091,PrivacySuppressed,24578.340909,NULL,21616,NULL,91340,,,,,master only (1),,,,,,,,,,,,,,,,,,master only (1)
Academy of Hair Design - Austin,Austin,TX,78741-1338,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,9833,7917,9086,6278,0.6,0.2237288136,27502.579661,NULL,21365,NULL,78741,,,,,master only (1),,,,,,,,,,,,,,,,,,master only (1)
Academy of Hair Design-Grenada,Grenada,MS,38901,33.775198,-89.825313,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,34,NULL,NULL,NULL,NULL,NULL,17067,NULL,NULL,NULL,NULL,NULL,NULL,6500,6500,PrivacySuppressed,PrivacySuppressed,0.593220339,0.1016949153,17380.288136,41615.06,18186,NULL,38901,,,,,master only (1),,,,,,,,,,,,,,,,,,master only (1)
Academy of Hair Design-Jackson,Jackson,MS,39211,32.376376,-90.147044,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,62,NULL,NULL,NULL,NULL,NULL,16560,NULL,NULL,NULL,NULL,NULL,NULL,6500,6500,PrivacySuppressed,PrivacySuppressed,0.593220339,0.1016949153,17380.288136,41615.06,18186,NULL,39211,,,,,master only (1),,,,,,,,,,,,,,,,,,master only (1)
Academy of Hair Design-Jasper,Jasper,TX,75951,30.908648,-94.004879,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,46,NULL,NULL,NULL,NULL,NULL,7217,8769,NULL,NULL,NULL,NULL,NULL,16500,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.9257142857,0.2342857143,18045.622857,42634.45,15734,NULL,75951,,,,,master only (1),,,,,,,,,,,,,,,,,,master only (1)
Academy of Hair Design-Las Vegas,Las Vegas,NV,89146,36.15846,-115.210473,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,182,NULL,NULL,NULL,NULL,NULL,16717,21005,NULL,NULL,NULL,NULL,NULL,8539,6211,8693,8382,0.9162162162,0.1918918919,33011.740541,70764.57,24370,NULL,89146,,,,,master only (1),,,,,,,,,,,,,,,,,,master only (1)
Academy of Hair Design-Lufkin,Lufkin,TX,75904,31.330724,-94.718704,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,83,NULL,NULL,NULL,NULL,NULL,6729,7057,NULL,NULL,NULL,NULL,NULL,16500,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.9257142857,0.2342857143,18045.622857,42634.45,15734,NULL,75904,,,,,master only (1),,,,,,,,,,,,,,,,,,master only (1)
Academy of Hair Design-Oklahoma City,Oklahoma City,OK,73134-8055,35.612955,-97.557189,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,57,NULL,NULL,NULL,NULL,NULL,13928,NULL,13806,NULL,NULL,NULL,NULL,16500,12695,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.1919191919,30053.191919,NULL,18022,NULL,73134,,,,,master only (1),,,,,,,,,,,,,,,,,,master only (1)
Academy of Hair Design-Pearl,Pearl,MS,39208,32.281983,-90.115129,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,45,NULL,NULL,NULL,NULL,NULL,16740,NULL,NULL,NULL,NULL,NULL,NULL,6500,6500,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.1639344262,29996.737705,52038.01,16386,NULL,39208,,,,,master only (1),,,,,,,,,,,,,,,,,,master only (1)
Academy of Hair Design-Springfield,Springfield,MO,65804,37.180584,-93.261354,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,260,NULL,NULL,NULL,NULL,NULL,14974,15138,16263,18643,18643,NULL,NULL,9833,7917,9086,6278,0.6,0.2237288136,27502.579661,NULL,21365,NULL,65804,,,,,master only (1),,,,,,,,,,,,,,,,,,master only (1)
Academy of Hair Technology,Greenville,SC,29615-2363,34.874681,-82.327426,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,28,NULL,NULL,NULL,NULL,NULL,7202,5977,9127,NULL,NULL,NULL,NULL,3666,3333,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.2522522523,24551.972973,56439.13,20588,NULL,29615,,,,,master only (1),,,,,,,,,,,,,,,,,,master only (1)
Academy of Interactive Entertainment,Lafayette,LA,70506-4293,30.220037,-92.043315,0.9135,NULL,NULL,NULL,NULL,NULL,NULL,NULL,112,NULL,NULL,NULL,NULL,NULL,22721,25777,25316,26066,28655,31459,NULL,12000,10750,PrivacySuppressed,PrivacySuppressed,0.2023809524,PrivacySuppressed,46295.559524,NULL,NULL,NULL,70506,,,,,master only (1),,,,,,,,,,,,,,,,,,master only (1)
Academy of Interactive Entertainment,Seattle,WA,98109-4623,47.621224,-122.351158,0.9167,NULL,NULL,NULL,NULL,NULL,NULL,NULL,135,NULL,NULL,NULL,NULL,NULL,28953,25785,26935,32196,32880,32880,NULL,12000,12000,12000,11000,0.3465346535,PrivacySuppressed,54371.742574,NULL,NULL,NULL,98109,,,,,master only (1),,,,,,,,,,,,,,,,,,master only (1)
Academy of Massage and Bodywork,Bear,DE,19701,39.628779,-75.666786,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,94,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6333,6333,PrivacySuppressed,PrivacySuppressed,0.8692307692,0.1615384615,35230.415385,NULL,21037,NULL,19701,,,,,master only (1),,,,,,,,,,,,,,,,,,master only (1)
Academy of Natural Therapy Inc,Greeley,CO,80631-9441,40.426259,-104.691075,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,41,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7917,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.8169014085,0.2253521127,28741.126761,NULL,24559,NULL,80631,,,,,master only (1),,,,,,,,,,,,,,,,,,master only (1)
