instnm,city,stabbr,zip,latitude,longitude,adm_rate,sat_mid_read,sat_mid_math,act_mid_cumulative,act_mid_english,act_mid_math,act_mid_writing,sat_avg,ug_enrol,nprice_pub_cat1,nprice_pub_cat2,nprice_pub_cat3,nprice_pub_cat4,nprice_pub_cat5,nprice_pvt_cat1,nprice_pvt_cat2,nprice_pvt_cat3,nprice_pvt_cat4,nprice_pvt_cat5,avg_cost_attendance,completion_rate,grad_debt_median,grad_debt_med_LY,grad_debt_med_MY,grad_debt_med_HY,female,married,avg_familyincome,median_householdincome,median_earn_aftr6yr,number_gradstudent,zipcode,own_sc_low,parent_sc_low,own_sc_high,parent_sc_high,_merge
Concorde Career Institute-Orlando,Orlando,FL,32803,28.55984,-81.340421,0.8934,NULL,NULL,NULL,NULL,NULL,NULL,NULL,197,NULL,NULL,NULL,NULL,NULL,25699,26016,27493,27584,29384,NULL,NULL,9500,9500,9500,9500,0.891891892,0.192654193,23418.16355,NULL,27226,NULL,32803,,,,,master only (1)
Concorde Career Institute-Tampa,Tampa,FL,33607-4127,27.959148,-82.514341,0.9436,NULL,NULL,NULL,NULL,NULL,NULL,NULL,405,NULL,NULL,NULL,NULL,NULL,22282,22529,24548,26095,26095,NULL,NULL,9500,9500,9500,5500,0.845671267,0.17565872,22230.15433,49900.03,29426,NULL,33607,,,,,master only (1)
Concordia College,Bronxville,NY,10708-1998,40.943382,-73.82202,0.9529,515,535,21,17,21,NULL,1053,722,NULL,NULL,NULL,NULL,NULL,23052,25556,30222,27695,41275,44662,0.4745,24325,18288,18750,13250,0.694063927,0.132420091,55396.5137,76194.22,48513,374,10708,1.74029,1.3365,1.8353,1.34636,matched (3)
Concordia College at Moorhead,Moorhead,MN,56562,46.862482,-96.76749,0.5808,580,582,24,23,24,NULL,1169,1873,NULL,NULL,NULL,NULL,NULL,19155,17354,18992,22230,27602,53819,0.6759,26490,18777,19668,21500,0.581032413,PrivacySuppressed,99498.46939,60523.09,43354,30,56562,,1.40297,,1.40618,matched (3)
Concordia Seminary,Saint Louis,MO,63105-3196,38.637181,-90.311324,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,NULL,596,63105,,,,,master only (1)
Concordia Theological Seminary,Fort Wayne,IN,46825-4996,41.139321,-85.10994,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,NULL,NULL,NULL,NULL,NULL,295,46825,,,,,master only (1)
Concordia University Ann Arbor,Ann Arbor,MI,48105,42.273157,-83.68268,0.6096,NULL,NULL,22,21,21,NULL,1105,900,NULL,NULL,NULL,NULL,NULL,22713,25766,26546,26616,27740,45348,0.4199,25478,15131,19000,20000,0.642100415,0.117457393,70980.02027,70459.21,43294,163,48105,,,,,master only (1)
Concordia University Texas,Austin,TX,78726,30.420232,-97.835703,0.9295,545,535,22,20,21,NULL,1086,1733,NULL,NULL,NULL,NULL,NULL,22237,23727,24915,26217,29423,47251,0.4342,22560,16500,16000,15125,0.648423006,0.162337662,57495.10482,72128.5,46496,517,78726,1.75734,1.49737,1.79872,1.47895,matched (3)
Concordia University-Chicago,River Forest,IL,60305-1499,41.898696,-87.809482,0.7854,540,545,22,21,21,NULL,1099,1452,NULL,NULL,NULL,NULL,NULL,15644,14346,15903,18308,21268,42750,0.5067,23250,12000,12500,15125,0.572390572,0.053872054,61554.38496,68556.46,39415,4953,60305,1.7014101,1.35676,1.78741,1.41467,matched (3)
Concordia University-Irvine,Irvine,CA,92612-3203,33.653665,-117.812305,0.7818,560,555,23,24,23,NULL,1128,1703,NULL,NULL,NULL,NULL,NULL,23512,23262,25579,25928,34595,53235,0.5909,23949,19000,20406,16566,0.672707889,0.069296375,74611.54371,79890.85,47319,2367,92612,1.7848001,1.6194201,1.82479,1.65282,matched (3)
Concordia University-Nebraska,Seward,NE,68434-1556,40.914853,-97.089054,0.7583,535,555,23,24,23,NULL,1138,1203,NULL,NULL,NULL,NULL,NULL,17229,18115,21221,24364,24423,45672,0.6288,26000,15375,20500,19000,0.488448845,0.018151815,83412.58746,60450.28,37114,1065,68434,1.6723,1.31961,1.7649601,1.3338,matched (3)
Concordia University-Saint Paul,Saint Paul,MN,55104-5494,44.949759,-93.154861,0.686,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3222,NULL,NULL,NULL,NULL,NULL,14421,13031,14980,17205,19543,32686,0.4752,18194,12500,12667,12090,0.607252612,0.227412416,57452.37001,71270.22,48090,2007,55104,1.65573,1.18931,1.77133,1.26897,matched (3)
Concordia University-Wisconsin,Mequon,WI,53097-2402,43.253387,-87.91552,0.7053,NULL,NULL,23,22,22,NULL,1150,2744,NULL,NULL,NULL,NULL,NULL,17665,19092,22710,24342,26027,45936,0.6094,25478,15131,19000,20000,0.642100415,0.117457393,70980.02027,64715.84,43294,2398,53097,1.6849101,1.32882,1.7962101,1.35259,matched (3)
Congregation Talmidei Mesivta Tiferes Shmiel Aleksander,Brooklyn,NY,11219-5440,40.624233,-73.994778,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,173,NULL,NULL,NULL,NULL,NULL,7614,8951,10202,NULL,NULL,23300,0.1136,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,NULL,NULL,NULL,NULL,NULL,NULL,11219,,,,,master only (1)
Connecticut Aero Tech  School,Hartford,CT,6114,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,24232.7,NULL,NULL,NULL,6114,,,,,master only (1)
Connecticut College,New London,CT,06320-4196,41.379833,-72.107321,0.3772,685,695,32,33,29,NULL,1400,1711,NULL,NULL,NULL,NULL,NULL,13178,13979,16044,27748,45734,74590,0.8193,23250,15079,19250,21000,0.667342799,PrivacySuppressed,106829.8114,83703.47,53562,NULL,6320,1.8437901,1.51237,1.90479,1.60096,matched (3)
Connors State College,Warner,OK,74469,35.492873,-95.319541,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1692,11486,10309,13100,16217,17447,NULL,NULL,NULL,NULL,NULL,17960,NULL,12160,9614,6948,7050,0.653209795,0.148246195,30431.8994,39405.32,27911,NULL,74469,1.06196,0.79152,1.35271,0.85584998,matched (3)
Conservatory of Music of Puerto Rico,San Juan,PR,00907-3373,18.454016,-66.078811,0.8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,351,4224,8123,8303,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10334,0.6,10625,8500,PrivacySuppressed,PrivacySuppressed,0.316546763,PrivacySuppressed,23112.21583,21018.34,16808,10,907,,,,,master only (1)
Conservatory of Recording Arts and Sciences,Tempe,AZ,85282-1707,33.407853,-111.889544,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,629,NULL,NULL,NULL,NULL,NULL,19096,19464,21920,23453,23805,NULL,NULL,8344,10569,8344,8344,0.123904881,0.078848561,44334.403,63998.42,31797,NULL,85282,,,,,master only (1)
Construction Training Center,Columbia,SC,29209,33.968494,-80.948762,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,19,NULL,NULL,NULL,NULL,NULL,15900,NULL,NULL,NULL,NULL,NULL,NULL,9500,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.126865672,0.111940299,9392.58209,NULL,NULL,NULL,29209,,,,,master only (1)
Continental Academie of Hair Design-Hudson,Hudson,NH,3051,42.7768,-71.44515,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,33,NULL,NULL,NULL,NULL,NULL,12678,14311,14861,17284,17284,NULL,NULL,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,51683.57447,83077.38,NULL,NULL,3051,,,,,master only (1)
Continental School of Beauty Culture-Mattydale,Mattydale,NY,13211-1003,43.105938,-76.147295,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,259,NULL,NULL,NULL,NULL,NULL,20164,21491,26711,26711,26711,NULL,NULL,6333,6333,6222,4888,0.946962392,0.136933462,26107.6596,NULL,23924,NULL,13211,,,,,master only (1)
Continental School of Beauty Culture-Rochester,Rochester,NY,14623,43.086397,-77.626383,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,337,NULL,NULL,NULL,NULL,NULL,18234,15324,24383,24383,NULL,NULL,NULL,6333,6333,6222,4888,0.946962392,0.136933462,26107.6596,52648.01,23924,NULL,14623,,,,,master only (1)
Continental School of Beauty Culture-West Seneca,West Seneca,NY,14224,42.828416,-78.754584,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,137,NULL,NULL,NULL,NULL,NULL,16981,21195,25690,NULL,25690,NULL,NULL,6333,6333,5500,5500,0.938461539,0.130769231,21567.11026,48696.74,19613,NULL,14224,,,,,master only (1)
Contra Costa College,San Pablo,CA,94806,37.969381,-122.337377,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5036,6141,6324,8894,11526,NULL,NULL,NULL,NULL,NULL,NULL,13667,NULL,PrivacySuppressed,5875,PrivacySuppressed,PrivacySuppressed,0.616254037,0.123250807,19517.97148,65623.06,32485,NULL,94806,1.0937001,0.74024999,1.35452,0.92746001,matched (3)
Contra Costa Medical Career College,Antioch,CA,94581-6208,37.976815,-121.801607,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,789,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed,6333,PrivacySuppressed,PrivacySuppressed,NULL,NULL,NULL,NULL,NULL,NULL,94581,,,,,master only (1)
Converse University,Spartanburg,SC,29302-0006,34.955534,-81.917881,0.8244,550,550,19,19,19,NULL,1067,737,NULL,NULL,NULL,NULL,NULL,20672,30531,23858,28858,19858,33858,0.515,26500,19500,19634,17142,PrivacySuppressed,0.03777336,60011.17893,57113.24,31585,640,29302,,,,,master only (1)
Conway School of Landscape Design,Northampton,MA,1060,42.313857,-72.64875,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,13,1060,,,,,master only (1)
Cooper Union for the Advancement of Science and Art,New York,NY,10003-7120,40.728148,-73.991609,0.1751,670,745,32,32,32,NULL,1422,806,NULL,NULL,NULL,NULL,NULL,5064,6146,8576,13198,29034,61775,0.7944,14000,14605,14000,12484,0.314136126,PrivacySuppressed,68090.1623,71862.09,44726,81,10003,,,,,matched (3)
Copiah-Lincoln Community College,Wesson,MS,39191,31.69272,-90.400234,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2150,2901,4446,6931,9059,9605,NULL,NULL,NULL,NULL,NULL,10663,NULL,7500,4125,4168,5500,0.593993326,0.056173526,25102.9683,36781.58,24665,NULL,39191,0.75831002,0.56746,1.13458,0.61581999,matched (3)
Copiah-Lincoln Community College Simpson County Center,Mendenhall,MS,39114,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7500,4125,4168,5500,0.593993326,0.056173526,25102.9683,NULL,24665,NULL,39114,,,,,master only (1)
Copiah-Lincoln Community College-Natchez Campus,Natchez,MS,39120,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7500,4125,4168,5500,0.593993326,0.056173526,25102.9683,NULL,24665,NULL,39120,,,,,master only (1)
Copper Mountain Community College,Joshua Tree,CA,92252,34.140464,-116.213939,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1533,7396,8045,10525,NULL,NULL,NULL,NULL,NULL,NULL,NULL,14349,NULL,PrivacySuppressed,7000,PrivacySuppressed,PrivacySuppressed,0.629292929,0.255555556,20152.2404,40650.49,25941,NULL,92252,1.04272,1.0564801,1.20384,1.12225,matched (3)
Coppin State University,Baltimore,MD,21216-3698,39.311258,-76.658687,0.402,455,440,20,19,18,NULL,902,2084,10010,15787,16070,NULL,13637,NULL,NULL,NULL,NULL,NULL,17787,0.3034,23500,16000,16250,12125,0.774945375,0.080116533,35608.38165,54222.17,35933,240,21216,1.26177,0.8161,1.3796901,0.89530998,matched (3)
Corban University,Salem,OR,97317-9392,44.882399,-122.961129,0.4834,550,530,21,20,21,NULL,1077,918,NULL,NULL,NULL,NULL,NULL,13273,16111,18279,16703,17286,45919,0.5045,23149,20164,20250,16750,0.624535316,0.037174721,80006.94052,61069.68,35666,194,97317,1.69453,1.4248,1.76092,1.4585,matched (3)
Corinth Academy of Cosmetology,Corinth,MS,38834,34.934036,-88.520546,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,91,NULL,NULL,NULL,NULL,NULL,21418,21862,NULL,27607,NULL,NULL,NULL,9833,4500,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.202531646,16489.82279,NULL,20829,NULL,38834,,,,,master only (1)
Cornell College,Mount Vernon,IA,52314-1098,41.924554,-91.423741,0.8241,599,575,26,26,25,8,1224,996,NULL,NULL,NULL,NULL,NULL,16806,17628,21797,24390,27002,58201,0.6743,27000,23690,19000,24375,0.46741573,PrivacySuppressed,96782.20225,67428.42,36662,3,52314,1.72048,1.44005,1.76792,1.4428,matched (3)
Cornell University,Ithaca,NY,14853,42.4472,-76.483084,0.1071,715,755,34,35,33,NULL,1480,14741,NULL,NULL,NULL,NULL,NULL,5244,5133,9785,21043,52887,75204,0.9536,14500,8975,11000,14925,0.533558075,0.005822862,96568.98744,80346.48,78779,8877,14853,1.81618,1.5553401,1.90124,1.6139899,matched (3)
Cornerstone University,Grand Rapids,MI,49525-5897,42.979966,-85.595328,0.8697,585,465,23,22,22,NULL,1067,1399,NULL,NULL,NULL,NULL,NULL,17675,18391,18541,19953,23329,35814,0.6531,25125,18431,20313,19000,0.652642934,0.210355987,61045.09925,63718.46,36194,456,49525,1.70654,1.40933,1.78634,1.42551,matched (3)
Cornish College of the Arts,Seattle,WA,98121,47.618174,-122.336238,0.7888,NULL,NULL,NULL,NULL,NULL,NULL,NULL,481,NULL,NULL,NULL,NULL,NULL,33383,32908,37769,41719,42357,50370,0.5188,27000,23250,23500,16250,0.642276423,PrivacySuppressed,82008.54201,69763.39,29217,NULL,98121,1.77575,1.50161,1.7959,1.46766,matched (3)
Cortiva Institute,Cromwell,CT,6416,41.604041,-72.678562,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,93,NULL,NULL,NULL,NULL,NULL,26888,28488,29637,30209,30209,NULL,NULL,7600,7600,7600,6292,0.768992248,0.176744186,38528.95349,77193.98,27607,NULL,6416,,,,,master only (1)
Cortiva Institute,King of Prussia,PA,19406,40.08063,-75.378356,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,104,NULL,NULL,NULL,NULL,NULL,19801,19389,22175,22582,22582,NULL,NULL,6861,6861,PrivacySuppressed,PrivacySuppressed,0.708624709,0.137529138,28196.03497,80846.34,24274,NULL,19406,,,,,master only (1)
Cortiva Institute,Linthicum,MD,21090,39.215919,-76.672532,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,316,NULL,NULL,NULL,NULL,NULL,22883,19419,NULL,25077,25077,NULL,NULL,7652,6967,6944,4888,0.79661017,0.167497508,27367.99103,66376.69,25220,NULL,21090,,,,,master only (1)
Cortiva Institute,Maitland,FL,32751,28.629921,-81.397179,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,172,NULL,NULL,NULL,NULL,NULL,20293,20709,22490,22490,NULL,NULL,NULL,7136,6333,5852,4584,0.819548872,0.16374269,25514.40184,60079.81,23547,NULL,32751,,,,,master only (1)
Cortiva Institute,Pompano Beach,FL,33064,26.275351,-80.150541,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,76,NULL,NULL,NULL,NULL,NULL,20539,20904,NULL,23796,23796,NULL,NULL,7136,6333,5852,4584,0.819548872,0.16374269,25514.40184,60079.81,23547,NULL,33064,,,,,master only (1)
Cortiva Institute,St. Petersburg,FL,33713,27.793547,-82.680031,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,157,NULL,NULL,NULL,NULL,NULL,20723,22005,22195,NULL,NULL,NULL,NULL,7521,7521,4906,4498,0.699872286,0.149425287,28423.0894,52056.88,21011,NULL,33713,,,,,master only (1)
Cortiva Institute-Arlington,Arlington,TX,76017-5818,32.6769,-97.119031,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,104,NULL,NULL,NULL,NULL,NULL,21163,22085,23396,NULL,NULL,NULL,NULL,7521,7521,4906,4498,0.699872286,0.149425287,28423.0894,NULL,21011,NULL,76017,,,,,master only (1)
Cosmetology & Spa Academy,Crystal Lake,IL,60014,42.24918,-88.294087,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,352,NULL,NULL,NULL,NULL,NULL,12732,13560,17634,18264,18736,NULL,NULL,9500,7917,7917,7667,0.83030303,0.160606061,36872.89394,85926.47,27259,NULL,60014,,,,,master only (1)
Cosmetology Academy of Texarkana,Texarkana,TX,75503,33.457096,-94.132583,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,49,NULL,NULL,NULL,NULL,NULL,16406,NULL,NULL,NULL,NULL,NULL,NULL,13000,9500,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.262135922,20226.26214,NULL,NULL,NULL,75503,,,,,master only (1)
Cosmetology Careers Unlimited College of Hair Skin and Nails,Duluth,MN,55802,46.785596,-92.100581,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,23,NULL,NULL,NULL,NULL,NULL,13875,NULL,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,21274.97143,50030.44,22157,NULL,55802,,,,,master only (1)
Cosmetology Concepts Niles,Niles,IL,60714,42.027601,-87.815113,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,50,NULL,NULL,NULL,NULL,NULL,4849,NULL,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.245614035,20805.14035,74364.36,18050,NULL,60714,,,,,master only (1)
Cosmetology School of Arts & Sciences,Burley,ID,83318,42.546938,-113.792788,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20,NULL,NULL,NULL,NULL,NULL,18547,NULL,NULL,NULL,NULL,NULL,NULL,15081,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.294117647,20311.17647,44909.16,13408,NULL,83318,,,,,master only (1)
Cosmetology Training Center,Lafayette,LA,70503,30.180961,-92.073116,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,94,NULL,NULL,NULL,NULL,NULL,11063,10151,14729,14923,14207,NULL,NULL,7411,6985,8066,9167,PrivacySuppressed,PrivacySuppressed,53558,45768.93,17584,NULL,70503,,,,,master only (1)
Cosmo Beauty Academy,Sacramento,CA,95821-6800,38.62883,-121.401027,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,171,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.346153846,26035.52885,NULL,21592,NULL,95821,,,,,master only (1)
Cossatot Community College of the University of Arkansas,De Queen,AR,71832,34.043389,-94.3673,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,862,5109,6473,7790,NULL,NULL,NULL,NULL,NULL,NULL,NULL,11154,NULL,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.675977654,0.145251397,22685.49721,40394.08,25721,NULL,71832,0.98229003,0.57994002,1.06542,0.69309002,matched (3)
Cosumnes River College,Sacramento,CA,95823-5799,38.45295,-121.423108,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,13354,3265,4435,6368,8328,9756,NULL,NULL,NULL,NULL,NULL,11035,NULL,10000,8500,6962,5500,0.578116917,0.131919296,21129.04656,65383.01,31152,NULL,95823,0.98723,1.12625,1.27432,1.28848,matched (3)
Cottey College,Nevada,MO,64772,37.836127,-94.371311,0.6054,575,525,22,22,20,NULL,1104,283,NULL,NULL,NULL,NULL,NULL,14474,18050,18166,19037,22059,33080,0.536,21500,11316,8500,12000,PrivacySuppressed,PrivacySuppressed,54804.35938,61289.57,29230,NULL,64772,1.51318,1.16786,1.60419,1.18856,matched (3)
County College of Morris,Randolph,NJ,07869-2086,40.859141,-74.579873,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5901,6707,6867,10306,13191,13371,NULL,NULL,NULL,NULL,NULL,13532,NULL,9250,4923,5589,7378,0.504653986,0.062322946,55085.70538,98890.71,37856,NULL,7869,1.69047,1.36933,1.78536,1.48186,matched (3)
Covenant College,Lookout Mountain,GA,30750-4164,34.965161,-85.375066,0.9755,605,578,26,28,24,7,1209,842,NULL,NULL,NULL,NULL,NULL,19826,26551,21833,25497,28897,49420,0.6755,23430,16500,19000,18000,0.486153846,PrivacySuppressed,100941.9692,63670.68,35233,46,30750,1.6748,1.59507,1.75685,1.62722,matched (3)
Covenant School of Nursing and Allied Health,Lubbock,TX,79407,33.5757,-101.937872,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,353,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,12971,13361,10453,11125,0.836501901,0.209125475,52105.72243,48583.31,65789,NULL,79407,,,,,master only (1)
Covenant Theological Seminary,Saint Louis,MO,63141-8609,38.643066,-90.451323,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,NULL,NULL,NULL,NULL,NULL,593,63141,,,,,master only (1)
Cowley County Community College,Arkansas City,KS,67005,37.061668,-97.043075,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1835,5649,7702,8206,10065,9630,NULL,NULL,NULL,NULL,NULL,12849,NULL,8000,5250,5500,5500,0.598489616,0.156702329,42502.62744,55353.2,30075,NULL,67005,1.25124,0.90463001,1.48233,0.98346001,matched (3)
Cox College,Springfield,MO,65802-1917,37.225116,-93.290233,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,741,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.5,20000,18835,18251,17000,0.854545455,0.363636364,50157.36364,48211.36,44049,233,65802,,,,,matched (3)
Coyne College,Chicago,IL,60602-3304,41.882558,-87.627413,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,531,NULL,NULL,NULL,NULL,NULL,17502,17606,18001,20267,NULL,NULL,NULL,9500,8143,7141,5500,0.338461539,0.103846154,21926.01923,53931.98,32572,NULL,60602,,,,,master only (1)
Cozmo Beauty School,Bonita Springs,FL,34135,26.330412,-81.780821,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,62,NULL,NULL,NULL,NULL,NULL,15456,NULL,NULL,NULL,NULL,NULL,NULL,12748,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.179775281,35951.82023,NULL,21945,NULL,34135,,,,,master only (1)
Crafton Hills College,Yucaipa,CA,92339-1799,34.039178,-117.101173,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5274,17290,17177,18746,20713,NULL,NULL,NULL,NULL,NULL,NULL,24369,NULL,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.572617247,0.099848714,23380.88729,55947.33,29824,NULL,92339,1.42207,1.32787,1.5334899,1.3836499,matched (3)
Cranbrook Academy of Art,Bloomfield Hills,MI,48304,42.568904,-83.250681,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,NULL,NULL,NULL,NULL,NULL,126,48304,,,,,master only (1)
Crave Beauty Academy,Wichita,KS,67203,37.684374,-97.387374,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,171,NULL,NULL,NULL,NULL,NULL,13012,13431,14654,NULL,NULL,NULL,NULL,8198,7917,7539,5860,PrivacySuppressed,0.156626506,41388.07631,59730.9,23727,NULL,67203,,,,,master only (1)
Craven Community College,New Bern,NC,28562-4900,35.111516,-77.102232,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2109,5904,6283,6518,6309,NULL,NULL,NULL,NULL,NULL,NULL,12326,NULL,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.613469985,0.325768668,23802.80674,48945.18,27650,NULL,28562,0.62010002,0.77455997,0.80515999,0.89525002,matched (3)
Crawford County Career and Technical Center Practical Nursing Program,Meadville,PA,16335,41.633675,-80.126167,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,28,9259,11519,13836,18714,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,16493,11014,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,35379.40816,46032.47,35324,NULL,16335,,,,,master only (1)
Creative Hair School of Cosmetology,Flint,MI,48507,42.980416,-83.757927,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,50,NULL,NULL,NULL,NULL,NULL,9246,NULL,NULL,NULL,NULL,NULL,NULL,11760,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,11183.84375,NULL,NULL,NULL,48507,,,,,master only (1)
Creative Images Institute of Cosmetology-North Dayton,Dayton,OH,45414,39.855992,-84.188407,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,154,NULL,NULL,NULL,NULL,NULL,12430,12532,15046,15314,15914,NULL,NULL,9833,9225,9500,9399,PrivacySuppressed,0.170918367,30232.10969,62452.02,20285,NULL,45414,,,,,master only (1)
Creative Images Institute of Cosmetology-South Dayton,Dayton,OH,45459,39.627019,-84.174179,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,81,NULL,NULL,NULL,NULL,NULL,12139,12076,14594,15806,14806,NULL,NULL,9833,9225,9500,9399,PrivacySuppressed,0.170918367,30232.10969,62452.02,20285,NULL,45459,,,,,master only (1)
Creative Touch Cosmetology School,Waterloo,IL,62298-1609,38.335231,-90.146194,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,12,NULL,NULL,NULL,NULL,NULL,11063,12208,15430,NULL,NULL,NULL,NULL,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,29957.6,NULL,NULL,NULL,62298,,,,,master only (1)
