instnm,city,stabbr,zip,latitude,longitude,adm_rate,sat_mid_read,sat_mid_math,act_mid_cumulative,act_mid_english,act_mid_math,act_mid_writing,sat_avg,ug_enrol,nprice_pub_cat1,nprice_pub_cat2,nprice_pub_cat3,nprice_pub_cat4,nprice_pub_cat5,nprice_pvt_cat1,nprice_pvt_cat2,nprice_pvt_cat3,nprice_pvt_cat4,nprice_pvt_cat5,avg_cost_attendance,completion_rate,grad_debt_median,grad_debt_med_LY,grad_debt_med_MY,grad_debt_med_HY,female,married,avg_familyincome,median_householdincome,median_earn_aftr6yr,number_gradstudent,zipcode,own_sc_low,parent_sc_low,own_sc_high,parent_sc_high,_merge
Texas Tech University Health Sciences Center-El Paso,El Paso,TX,79905-2827,31.771891,-106.43122,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,288,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,NULL,NULL,NULL,NULL,72358,487,79905,,,,,master only (1)
Texas Wesleyan University,Fort Worth,TX,76105-1536,32.732962,-97.279613,0.4679,545,535,21,20,19,NULL,1081,1403,NULL,NULL,NULL,NULL,NULL,19995,20520,21626,24575,24152,47135,0.3366,23495,15750,14000,11250,0.605876393,0.113475177,40082.83688,62890.39,40009,791,76105,1.55265,1.38616,1.70456,1.44407,matched (3)
Texas Woman's University,Denton,TX,76204,33.226211,-97.127842,0.9368,555,537,19,21,21,7,1067,9297,6041,7203,10508,15503,17017,NULL,NULL,NULL,NULL,NULL,19418,0.4814,19845,14529,14351,12748,0.90287071,0.136412692,45407.03432,69739.2,43233,5769,76204,1.49475,1.22399,1.66,1.36445,matched (3)
Textures Institute of Cosmetology,Indianapolis,IN,46268-3635,39.906649,-86.218117,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,25,NULL,NULL,NULL,NULL,NULL,8921,NULL,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,14345.95,NULL,NULL,NULL,46268,,,,,master only (1)
Thaddeus Stevens College of Technology,Lancaster,PA,17602-3198,40.037951,-76.288718,0.8629,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1223,5434,5656,9722,14539,16297,NULL,NULL,NULL,NULL,NULL,16310,NULL,9241,3128,6017,10967,0.067552602,0.021040975,51564.17497,60333.5,40553,NULL,17602,1.31776,0.96415001,1.48326,1.01706,matched (3)
Thanh Le College School of Cosmetology,Garden Grove,CA,92840,33.789713,-117.908306,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,53,NULL,NULL,NULL,NULL,NULL,28605,NULL,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.68852459,0.639344262,14224.55738,65645.46,17628,NULL,92840,,,,,master only (1)
The  Beauty Institute,Whitehall,PA,18052,40.625855,-75.42678,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,34,NULL,NULL,NULL,NULL,NULL,13919,16919,17919,NULL,NULL,NULL,NULL,10160,8028,PrivacySuppressed,PrivacySuppressed,0.888157895,0.184210526,18836.19737,62145.05,23027,NULL,18052,,,,,master only (1)
The Academy of Hair Design Six,Hattiesburg,MS,39401-7569,31.311055,-89.316607,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,50,NULL,NULL,NULL,NULL,NULL,16757,NULL,NULL,NULL,NULL,NULL,NULL,9000,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.134146342,18880.26829,38737.04,16122,NULL,39401,,,,,master only (1)
The Ailey School,New York,NY,10019-4402,40.766921,-73.986891,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20,NULL,NULL,NULL,NULL,NULL,22599,25785,NULL,30594,31094,33094,NULL,13899,PrivacySuppressed,PrivacySuppressed,10874,0.789473684,PrivacySuppressed,54076.84211,60548.34,25406,NULL,10019,,,,,master only (1)
The Art Institute of Atlanta,Atlanta,GA,30328-1635,33.936024,-84.355252,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,793,NULL,NULL,NULL,NULL,NULL,24620,25593,27017,29270,27330,32980,0.1686,30750,16000,17500,17897,0.488700565,0.103389831,31804.23107,72782.11,26214,NULL,30328,1.10686,0.92189997,1.25164,0.91892999,matched (3)
